fecha,cuenta_id,saldo,moneda,nota
2026-03-28,arq,9000.0,USD,
2026-03-28,ontop,5200.0,USD,
2026-03-28,openbank-vista,6100.0,USD,
2026-03-28,openbank-remunerada,3000.0,USD,
2026-03-28,pesos,900000.0,ARS,
2026-04-28,arq,9108.0,USD,
2026-04-28,ontop,5220.8,USD,
2026-04-28,openbank-vista,6405.0,USD,
2026-04-28,openbank-remunerada,3090.0,USD,
2026-04-28,pesos,918000.0,ARS,
2026-05-28,arq,9217.3,USD,
2026-05-28,ontop,5241.68,USD,
2026-05-28,openbank-vista,6725.25,USD,
2026-05-28,openbank-remunerada,3182.7,USD,
2026-05-28,pesos,936360.0,ARS,
2026-06-28,arq,9327.9,USD,
2026-06-28,ontop,5262.65,USD,
2026-06-28,openbank-vista,7061.51,USD,
2026-06-28,openbank-remunerada,3278.18,USD,
2026-06-28,pesos,955087.2,ARS,
2026-07-28,arq,9439.84,USD,
2026-07-28,ontop,5283.7,USD,
2026-07-28,openbank-vista,7414.59,USD,
2026-07-28,openbank-remunerada,3376.53,USD,
2026-07-28,pesos,974188.94,ARS,
2026-08-28,arq,9553.12,USD,
2026-08-28,ontop,5304.84,USD,
2026-08-28,openbank-vista,7785.32,USD,
2026-08-28,openbank-remunerada,3477.82,USD,
2026-08-28,pesos,993672.72,ARS,
